question,answer
ما هي العمرة,العمرة هي عبادة تتضمن الإحرام والطواف بالكعبة والسعي بين الصفا والمروة ثم الحلق أو التقصير، ويمكن أداؤها في أي وقت من العام
ما الفرق بين الحج والعمرة,الحج فرض والعمرة سنة عند جمهور العلماء، الحج له وقت محدد في السنة شوال وذو القعدة وأيام من ذو الحجة، أما العمرة فتؤدى في أي وقت الحج يتضمن الوقوف بعرفة، بينما العمرة لا
هل الحج واجب على الفور أم التراخي,الحج يجب على الفور عند توفر الشروط، ولا يجوز تأخيره بلا عذر، وهو قول جمهور العلماء
ما هو الدليل على وجوب الحج,قوله تعالى ولله على الناس حج البيت من استطاع إليه سبيلا آل عمران ، وقول النبي بني الإسلام على خمس وحج البيت من استطاع إليه سبيلا
كم مرة يجب الحج في العمر,مرة واحدة فقط لمن استطاع، وما زاد عن ذلك فهو تطوع
"ما معنى ""الاستطاعة"" في الحج",أن يكون المسلم قادرا بدنيا وماليا على أداء الحج، مع توفر الأمن والطريق
هل يشترط وجود محرم للمرأة في الحج,نعم، يجب وجود محرم للمرأة المسلمة في السفر للحج، وهذا قول جمهور العلماء ولا يجوز لها أن تسافر وحدها إلا مع مجموعة مأمونة في بعض المذاهب المعاصرة إذا أمنت الفتنة
هل يصح حج الصغير,نعم، ولكن لا يجزئه عن حجة الإسلام، ويجب عليه الحج إذا بلغ مستطيعا
هل يصح حج المجنون أو غير العاقل,لا، لأن من شروط الحج العقل، فلا يصح من المجنون
هل العمرة تغني عن الحج,لا، العمرة لا تغني عن الحج، فلكل منهما شعائره وأحكامه، والحج هو الفريضة
هل يجوز للفقير أن يحج على نفقة غيره,نعم، إذا تبرع له أحد بالحج وتوفرت له شروط الاستطاعة، جاز له الحج
هل يجب على من عليه ديون أن يحج,لا، يقدم سداد الدين على الحج، لأن الدين حق آدمي
هل الحج يُكفر الذنوب,نعم، قال النبي من حج فلم يرفث ولم يفسق رجع كيوم ولدته أمه، رواه البخاري ومسلم
ما هو أفضل وقت لأداء العمرة,أفضل وقت هو في رمضان، لقول النبي عمرة في رمضان تعدل حجة
هل يجوز تكرار الحج في أكثر من سنة,نعم، يجوز تكراره وهو من أفضل الأعمال، لكن لا يجب إلا مرة واحدة
